speaker,script,position1,function1,position2,function2,match,agreement,corpus
*DANA:,I thought they were gonna be back by now,,,,,,,sbcsae
*KELL:,You didn't hear em playing last night,,,,,,,sbcsae
*DANA:,I know,,,,,,,sbcsae
*KELL:,Where did they go,,,,,,,sbcsae
*DANA:,They went out to dinner with Arianna's parents,,,,,,,sbcsae
*KELL:,Arianna's parents,,,,,,,sbcsae
*KELL:,Yeah,,,,,,,sbcsae
*KELL:,That was her grandma on the phone,,,,,,,sbcsae
*DANA:,They left at like,,,,,,,sbcsae
,quarter of eight,,,,,,,sbcsae
*KELL:,Mm,,,,,,,sbcsae
*KELL:,Maybe they went shopping,,,,,,,sbcsae
*KELL:,First,,,,,,,sbcsae
,and then went to dinner,,,,,,,sbcsae
*DANA:,I think they're hanging out,,,,,,,sbcsae
*DANA:,With,,,,,,,sbcsae
*KELL:,,,,,,,,sbcsae
*DANA:,the Callahans,,,,,,,sbcsae
*DANA:,Gotta have some of my sister's bread,,,,,,,sbcsae
*DANA:,It is so good,,,,,,,sbcsae
*KELL:,What,,,,,,,sbcsae
*KELL:,Is it like regular bread,,,,,,,sbcsae
,or is it,,,,,,,sbcsae
*DANA:,No,,,,,,,sbcsae
*DANA:,Molasses,,,,,,,sbcsae
*KELL:,Oh,,,,,,,sbcsae
*DANA:,Oh,,,,,,,sbcsae
,I love this bread,,,,,,,sbcsae
*DANA:,,,,,,,,sbcsae
,It's so good,,,,,,,sbcsae
*DANA:,Oh,,,,,,,sbcsae
*KELL:,You should make it,,,,,,,sbcsae
*DANA:,No,,,,,,,sbcsae
,I don't know how to make it,,,,,,,sbcsae
*KELL:,That is the cutest cutting board,,,,,,,sbcsae
*KELL:,Isn't it,,,,,,,sbcsae
*DANA:,I know ,,,,,,,sbcsae
*KELL:,I love it,,,,,,,sbcsae
*DANA:,,,,,,,,sbcsae
,Little piggies,,,,,,,sbcsae
*DANA:,You wanna piece of toast,,,,,,,sbcsae
*KELL:,Sure,,,,,,,sbcsae
*DANA:,Here,,,,,,,sbcsae
*DANA:,Try some of it first,,,,,,,sbcsae
*KELL:,,,,,,,,sbcsae
,It's different,,,,,,,sbcsae
*KELL:,I like it,,,,,,,sbcsae
*KELL:,When'd she start making this,,,,,,,sbcsae
*DANA:,I don't know,,,,,,,sbcsae
,Kinda like couple years ago,,,,,,,sbcsae
*KELL:,Mm,,,,,,,sbcsae
*KELL:,Does she always come home in the summer,,,,,,,sbcsae
*KELL:,From school,,,,,,,sbcsae
*DANA:,Mhm,,,,,,,sbcsae
*KELL:,Oh really,,,,,,,sbcsae
*DANA:,,,,,,,,sbcsae
,,,,,,,,sbcsae
,Cause,,,,,,,sbcsae
,she gets really homesick,,,,,,,sbcsae
*KELL:,Oh does she,,,,,,,sbcsae
*D+B88ANA:,so,,,,,,,sbcsae
,and she likes to come home,,,,,,,sbcsae
*DANA:,And we have that house,,,,,,,sbcsae
,at the Cape and stuff,,,,,,,sbcsae
*KELL:,Yeah,,,,,,,sbcsae
*KELL:,See I don't really miss home,,,,,,,sbcsae
*KELL:,I mean I miss my family you know,,,,,,,sbcsae
,but like,UI,T2,UI,T1,UNMATCH,T3,sbcsae
,I don't think about them,,,,,,,sbcsae
,when I'm up here really,,,,,,,sbcsae
*KELL:,Except for I call every few days,,,,,,,sbcsae
*DANA:,l Oh I don't,,,,,,,sbcsae
,I miss my house,,,,,,,sbcsae
*KELL:,Yeah,,,,,,,sbcsae
*KELL:,I miss my house,,,,,,,sbcsae
*DANA:,I miss the feeling of being ho me,,,,,,,sbcsae
*KELL:,Mm,,,,,,,sbcsae
*KELL:,Mhm,,,,,,,sbcsae
*KELL:,But like I'm not homesick at all,UI,T3,UI,T1,UNMATCH,T3,sbcsae
*KELL:,Like I'm perfectly,,,,,,,sbcsae
,happy up here,,,,,,,sbcsae
*DANA:,Yeah,,,,,,,sbcsae
*KELL:,Plus it's such a pain to drive home,,,,,,,sbcsae
*KELL:,Four hours or whatever,,,,,,,sbcsae
*DANA:,Mhm,,,,,,,sbcsae
*DANA:,,,,,,,,sbcsae
,,,,,,,,sbcsae
,,,,,,,,sbcsae
,,,,,,,,sbcsae
,This on the bread,,,,,,,sbcsae
*DANA:,It's good,,,,,,,sbcsae
*DANA:,,,,,,,,sbcsae
,We have so many plates,,,,,,,sbcsae
*DANA:,These are such awesome cups,,,,,,,sbcsae
,where do you think they got them,,,,,,,sbcsae
*KELL:,I have no idea,,,,,,,sbcsae
*KELL:,I love em though,,,,,,,sbcsae
*KELL:,I totally would,,,,,,,sbcsae
*DANA:,They're so awesome,,,,,,,sbcsae
*KELL:,I would use that,,,,,,,sbcsae
,all the time,,,,,,,sbcsae
*KELL:,And I really try hard not to lose it too ,,,,,,,sbcsae
*KELL:,This is cute,,,,,,,sbcsae
*KELL:,who brought this,,,,,,,sbcsae
*DANA:,I did,,,,,,,sbcsae
*KELL:,Oh really,,,,,,,sbcsae
*KELL:,Oh yeah,,,,,,,sbcsae
*KELL:,I think I remember unpacking it,,,,,,,sbcsae
*KELL:,,,,,,,,sbcsae
,,,,,,,,sbcsae
*DANA:,It's not really for sugar but,TF,I2,TF,T4,UNMATCH,I2,sbcsae
*KELL:,That's okay,,,,,,,sbcsae
*KELL:,It's basically for cream,,,,,,,sbcsae
*KELL:,I won't tell,,,,,,,sbcsae
*KELL:,Just as long as it's something white,,,,,,,sbcsae
*DANA:,Whoops,,,,,,,sbcsae
*DANA:,What'd you have for dinner,,,,,,,sbcsae
*KELL:,Oh yeah it's a good flour,,,,,,,sbcsae
*DANA:,Oh you made pasta,,,,,,,sbcsae
*KELL:,Yeah,,,,,,,sbcsae
,and then we went to Hank's where we made,,,,,,,sbcsae
,chicken sandwiches,,,,,,,sbcsae
*KELL:,And then we had free ice cream out on the quad,,,,,,,sbcsae
*DANA:,Oh was there free ice cre,,,,,,,sbcsae
*DANA:,Did you see anybody,,,,,,,sbcsae
*KELL:,Na,,,,,,,sbcsae
*KELL:,I saw that girl,,,,,,,sbcsae
,Amanda,,,,,,,sbcsae
*KELL:,That lived on our floor,,,,,,,sbcsae
,the one with the weird laugh,,,,,,,sbcsae
,She got a birthmark on her face,,,,,,,sbcsae
*DANA:,Mm,,,,,,,sbcsae
*KELL:,like a stain colored birthmark,,,,,,,sbcsae
*DANA:,Oh yeah,,,,,,,sbcsae
*KELL:,And then I th,,,,,,,sbcsae
*DANA:,No she used to be on our floor,,,,,,,sbcsae
*DANA:,She moved,,,,,,,sbcsae
*KELL:,Yeah,,,,,,,sbcsae
*KELL:,Yeah,,,,,,,sbcsae
*KELL:,Used to be,,,,,,,sbcsae
*DANA:,The weird weird one,,,,,,,sbcsae
*DANA:,She went out with Tom Engle,,,,,,,sbcsae
*KELL:,Yeah,,,,,,,sbcsae
*KELL:,That's right,,,,,,,sbcsae
*KELL:,Yeah,,,,,,,sbcsae
,he was in their room,,,,,,,sbcsae
*KELL:,And that girl Laura,,,,,,,sbcsae
*KELL:,Lara,,,,,,,sbcsae
,from New Jersey,,,,,,,sbcsae
*DANA:,Which,,,,,,,sbcsae
*KELL:,that was in their room too,,,,,,,sbcsae
*KELL:,The triple,,,,,,,sbcsae
*KELL:,Oh no,,,,,,,sbcsae
*KELL:,I hate bugs,,,,,,,sbcsae
*KELL:,,,,,,,,sbcsae
*DANA:,That's just a fly,,,,,,,sbcsae
*KELL:,Um,,,,,,,sbcsae
,the other girl that was in the,,,,,,,sbcsae
*DANA:,Here,,,,,,,sbcsae
*KELL:,in Sharon's triple,,,,,,,sbcsae
*KELL:,Lara,,,,,,,sbcsae
*KELL:,From,,,,,,,sbcsae
,Newark,,,,,,,sbcsae
*KELL:,New Jersey,,,,,,,sbcsae
*DANA:,Oh yeah,,,,,,,sbcsae
*KELL:,But they live in that,TI,T4,TI,T4,MATCH,T4,sbcsae
*DANA:,Didn't see them around there last year,,,,,,,sbcsae
*KELL:,They live in that Redstone SAFE House,,,,,,,sbcsae
*DANA:,Oh,,,,,,,sbcsae
*KELL:,That's why,,,,,,,sbcsae
*KELL:,And it was like,,,,,,,sbcsae
,a free ice cream thing for Coolidge and the SAFE House,,,,,,,sbcsae
*DANA:,I gotcha,,,,,,,sbcsae
*DANA:,,,,,,,,sbcsae
*DANA:,,,,,,,,sbcsae
*DANA:,Isn't it good bread,,,,,,,sbcsae
*KELL:,Mm,,,,,,,sbcsae
*DANA:,,,,,,,,sbcsae
*KELL:,Yeah it is,,,,,,,sbcsae
*KELL:,It's thick,,,,,,,sbcsae
*KELL:,Thick,,,,,,,sbcsae
*KELL:,It's not as light,,,,,,,sbcsae
*DANA:,Mhm,,,,,,,sbcsae
*DANA:,No,,,,,,,sbcsae
*DANA:,That's the dough,,,,,,,sbcsae
*KELL:,Yeah it's heavier,,,,,,,sbcsae
*KELL:,So it's good,,,,,,,sbcsae
*KELL:,I think I'm totally just gonna stay in and read,,,,,,,sbcsae
,I'm so exhausted,,,,,,,sbcsae
*KELL:,I didn't get that much sleep last night,,,,,,,sbcsae
*KELL:,No going out for me tonight,,,,,,,sbcsae
*KELL:,Last night was enough,,,,,,,sbcsae
*KELL:,,,,,,,,sbcsae
*DANA:,Mm,,,,,,,sbcsae
,I'm tired now,,,,,,,sbcsae
*DANA:,l I still kinda wanna hang out though,,,,,,,sbcsae
*KELL:,Yeah,,,,,,,sbcsae
*KELL:,Are they partying at Ed's or something,,,,,,,sbcsae
*DANA:,They were gonna come here,,,,,,,sbcsae
*KELL:,Ah,,,,,,,sbcsae
*DANA:,But,TI,I2,TI,I2,MATCH,I2,sbcsae
,,,,,,,,sbcsae
*KELL:,I think I'm totally just gonna sleep,,,,,,,sbcsae
*KELL:,I hope that plug isn't messing up the,,,,,,,sbcsae
*DANA:,Mmmm,,,,,,,sbcsae
*DANA:,Hey,,,,,,,sbcsae
*NANC:,We're here,,,,,,,sbcsae
*KELL:,,,,,,,,sbcsae
*ARIA:,Get some here,,,,,,,sbcsae
*DANA:,Hi,,,,,,,sbcsae
*NANC:,Hi,,,,,,,sbcsae
*DANA:,Yay,,,,,,,sbcsae
*NANC:,I gotta pee so bad,,,,,,,sbcsae
*DANA:,How was dinner,,,,,,,sbcsae
*KELL:,Uh oh,,,,,,,sbcsae
*NANC:,What,,,,,,,sbcsae
*DANA:,How was dinner,,,,,,,sbcsae
*NANC:,Late,,,,,,,sbcsae
*DANA:,Mm,,,,,,,sbcsae
*KELL:,Did they know each other before school,,,,,,,sbcsae
*KELL:,No,,,,,,,sbcsae
*DANA:,Hmm,,,,,,,sbcsae
*DANA:,They had heard of each other,,,,,,,sbcsae
*DANA:,Like,,,,,,,sbcsae
,they knew,,,,,,,sbcsae
*KELL:,Mm,,,,,,,sbcsae
*KELL:,It was like next town over or something like that,,,,,,,sbcsae
*DANA:,I don't think they were friends,,,,,,,sbcsae
*ARIA:,Hi,,,,,,,sbcsae
*DANA:,Hi,,,,,,,sbcsae
*DANA:,Why are you smiling like that,,,,,,,sbcsae
*ARIA:,Just cracking up,,,,,,,sbcsae
*KELL:,Arianna,,,,,,,sbcsae
,what are those for,,,,,,,sbcsae
*ARIA:,You can have one if you want one,,,,,,,sbcsae
*KELL:,Ha ha ha ,,,,,,,sbcsae
*ARIA:,Yeah you can,,,,,,,sbcsae
*DANA:,,,,,,,,sbcsae
*KELL:,,,,,,,,sbcsae
*ARIA:,They're from um,,,,,,,sbcsae
,We do,,,,,,,sbcsae
,My mom has like caretaking up on Stratton,,,,,,,sbcsae
*ARIA:,And they have the LPGA golf tournament there,,,,,,,sbcsae
*KELL:,Mhm,,,,,,,sbcsae
*ARIA:,And we caretake for all of the,,,,,,,sbcsae
,like,,,,,,,sbcsae
,bigwigs,,,,,,,sbcsae
*ARIA:,So,,,,,,,sbcsae
*KELL:,That is awesome,,,,,,,sbcsae
*KELL:,Those cups are so great,,,,,,,sbcsae
*ARIA:,They uh,,,,,,,sbcsae
*DANA:,That's awesome,,,,,,,sbcsae
*KELL:,wanna try sh,,,,,,,sbcsae
*DANA:,Oh,,,,,,,sbcsae
*ARIA:,And I got a whole case,,,,,,,sbcsae
*KELL:,I'm so excited,,,,,,,sbcsae
*ARIA:,Like the companies s,,,,,,,sbcsae
*ARIA:,Like Pepsi was one of the sponsors,,,,,,,sbcsae
*KELL:,Unhunh,,,,,,,sbcsae
*ARIA:,So they sent all this stuff,,,,,,,sbcsae
*ARIA:,Got a whole case,,,,,,,sbcsae
*ARIA:,Of apple cinnamon uh rice cakes,,,,,,,sbcsae
*KELL:,Those are good,,,,,,,sbcsae
*DANA:,Unhunh,,,,,,,sbcsae
*ARIA:,I got like everything,,,,,,,sbcsae
*DANA:,,,,,,,,sbcsae
*ARIA:,It's the best,,,,,,,sbcsae
*KELL:,That's so funny,,,,,,,sbcsae
*DANA:,I went shopping for food,,,,,,,sbcsae
*DANA:,I got myself some food tonight,,,,,,,sbcsae
*ARIA:,You did,,,,,,,sbcsae
*DANA:,My sister made a loaf of bread,,,,,,,sbcsae
,gotta have a piece,,,,,,,sbcsae
*DANA:,It's so good,,,,,,,sbcsae
*ARIA:,,,,,,,,sbcsae
,I'm stuffed,,,,,,,sbcsae
*DANA:,,,,,,,,sbcsae
*ARIA:,Um,,,,,,,sbcsae
*DANA:,Where'd you go,,,,,,,sbcsae
*ARIA:,The Shanty,,,,,,,sbcsae
*ARIA:,It's um,,,,,,,sbcsae
,,,,,,,,sbcsae
,d right on the water,,,,,,,sbcsae
*ARIA:,It was nice,,,,,,,sbcsae
*DANA:,Mm,,,,,,,sbcsae
*ARIA:,My uncle's so rude though ,,,,,,,sbcsae
*DANA:,Why,,,,,,,sbcsae
,what'd he do,,,,,,,sbcsae
*ARIA:,This uh,,,,,,,sbcsae
*ARIA:,The girl was like,,,,,,,sbcsae
,oh,,,,,,,sbcsae
,we,,,,,,,sbcsae
*ARIA:,Like he has a lot of money but he's,UI,T4,UI,T4,MATCH,T4,sbcsae
,like,,,,,,,sbcsae
,like,,,,,,,sbcsae
,I don't know,,,,,,,sbcsae
,like Blane,,,,,,,sbcsae
,he's like kinda rude,,,,,,,sbcsae
*ARIA:,Isn't he,,,,,,,sbcsae
*ARIA:,Like he was like,,,,,,,sbcsae
*NANC:,He's just a weirdo,,,,,,,sbcsae
*DANA:,Did he make fun of you,,,,,,,sbcsae
*ARIA:,I don't know,,,,,,,sbcsae
*ARIA:,He really bugs me,,,,,,,sbcsae
*ARIA:,He was like um,,,,,,,sbcsae
,well you forgot my d my sauce for this,,,,,,,sbcsae
*ARIA:,Cause she brought him clams,,,,,,,sbcsae
*ARIA:,Like he had clams,,,,,,,sbcsae
*ARIA:,And she goes well we have this kind and this kind,,,,,,,sbcsae
,and she said and we have A One sauce,,,,,,,sbcsae
,he's like no,,,,,,,sbcsae
*ARIA:,That's for steak,,,,,,,sbcsae
*ARIA:,Keep trying,,,,,,,sbcsae
*DANA:,,,,,,,,sbcsae
*ARIA:,You know,,,,,,,sbcsae
,and I was like,,,,,,,sbcsae
*NANC:,Not like,,,,,,,sbcsae
,oh I want this,,,,,,,sbcsae
*NANC:,He's like keep trying,,,,,,,sbcsae
*DANA:,Yeah,,,,,,,sbcsae
*ARIA:,You know,,,,,,,sbcsae
,he's like keep trying,,,,,,,sbcsae
*ARIA:,And then you would've thought like it was the end of the world when the bill came,,,,,,,sbcsae
*DANA:,Awesome,,,,,,,sbcsae
*ARIA:,It was like,,,,,,,sbcsae
*NANC:,Mhm,,,,,,,sbcsae
*ARIA:,I don't know,,,,,,,sbcsae
,he was just,,,,,,,sbcsae
*KELL:,Unhunh,,,,,,,sbcsae
*ARIA:,kind of a jerk,,,,,,,sbcsae
*KELL:,Your grandma called,,,,,,,sbcsae
*ARIA:,She did,,,,,,,sbcsae
*KELL:,Yeah like,,,,,,,sbcsae
,fifteen minutes ago,,,,,,,sbcsae
*ARIA:,What'd she say,,,,,,,sbcsae
*ARIA:,Anything,,,,,,,sbcsae
*KELL:,She just wanted to know,,,,,,,sbcsae
,when your parents got here,,,,,,,sbcsae
,and,,,,,,,sbcsae
,we decided,,,,,,,sbcsae
,it was about seven seven thirty,,,,,,,sbcsae
*DANA:,Seven thir,,,,,,,sbcsae
*DANA:,Yeah,,,,,,,sbcsae
*KELL:,And we told her and,,,,,,,sbcsae
,she was happy with that and hung up,,,,,,,sbcsae
*DANA:,,,,,,,,sbcsae
*ARIA:,,,,,,,,sbcsae
*KELL:,She's cute,,,,,,,sbcsae
*KELL:,,,,,,,,sbcsae
*ARIA:,She is cute,,,,,,,sbcsae
*DANA:,When did,,,,,,,sbcsae
*NANC:,So what's the plan,,,,,,,sbcsae
*DANA:,I don't know,,,,,,,sbcsae
*DANA:,I just was,,,,,,,sbcsae
*DANA:,Went shopping with Ed and his roommate,,,,,,,sbcsae
,they said they'd come over here,,,,,,,sbcsae
*NANC:,Mm,,,,,,,sbcsae
*DANA:,You know,,,,,,,sbcsae
*DANA:,If we wanna just hang out and drink,,,,,,,sbcsae
*DANA:,Whatever,,,,,,,sbcsae
*NANC:,Okay,,,,,,,sbcsae
*NANC:,That sounds cool,,,,,,,sbcsae
*DANA:,I think it'd be cool,,,,,,,sbcsae
,cause I don't feel like going anywhere,,,,,,,sbcsae
*NANC:,Yeah,,,,,,,sbcsae
*ARIA:,I know,,,,,,,sbcsae
*NANC:,that sounds good,,,,,,,sbcsae
*DANA:,You know,,,,,,,sbcsae
*DANA:,And uh,,,,,,,sbcsae
,Woody hasn't called yet so,,,,,,,sbcsae
*KELL:,We're all sitting here all too tired,,,,,,,sbcsae
*DANA:,Who knows,,,,,,,sbcsae
*DANA:,,,,,,,,sbcsae
,You know,,,,,,,sbcsae
*N+A391:B437ANC:,He's probably expecting us over there,,,,,,,sbcsae
*DANA:,No,,,,,,,sbcsae
,I said maybe,,,,,,,sbcsae
*DANA:,I said,,,,,,,sbcsae
,maybe we'll come,,,,,,,sbcsae
*NANC:,now maybe to Woody,,,,,,,sbcsae
*DANA:,Does that mean ,,,,,,,sbcsae
*DANA:,,,,,,,,sbcsae
,Is that what got you in trouble,,,,,,,sbcsae
*NANC:,,,,,,,,sbcsae
,,,,,,,,sbcsae
*DANA:,,,,,,,,sbcsae
*NANC:,That might mean yes,,,,,,,sbcsae
*DANA:,,,,,,,,sbcsae
*ARIA:,Awesome,,,,,,,sbcsae
*NANC:,No,,,,,,,sbcsae
,just kidding,,,,,,,sbcsae
*ARIA:,You know Woody,,,,,,,sbcsae
*NANC:,,,,,,,,sbcsae
*DANA:,May be I'll do that,,,,,,,sbcsae
*DANA:,no not,,,,,,,sbcsae
*DANA:,So but they just left like,UI,T4,UI,T4,MATCH,T4,sbcsae
,fifteen minutes ago,,,,,,,sbcsae
*DANA:,So I don't know,,,,,,,sbcsae
,Like they were gonna unpack their stuff,,,,,,,sbcsae
,Ed was gonna take a shower,,,,,,,sbcsae
*NANC:,Right,,,,,,,sbcsae
*NANC:,Right,,,,,,,sbcsae
*NANC:,That's cool,,,,,,,sbcsae
*DANA:,So,,,,,,,sbcsae
,and now they gotta get beer,,,,,,,sbcsae
*DANA:,So I don't know what they're doing,,,,,,,sbcsae
*DANA:,But I can call,UI,T1,UI,T1,MATCH,T1,sbcsae
,and find out,,,,,,,sbcsae
*DANA:,uh If they wanna come over,,,,,,,sbcsae
*NANC:,Okay,,,,,,,sbcsae
*DANA:,In a little while,,,,,,,sbcsae
*DANA:,I wouldn't mind,,,,,,,sbcsae
,I just wanna hang,,,,,,,sbcsae
*NANC:,Yeah,,,,,,,sbcsae
*DANA:,Hang and talk,,,,,,,sbcsae
*NANC:,S,,,,,,,sbcsae
*NANC:,We don't have cable,,,,,,,sbcsae
*NANC:,That's the only thing that sucks,,,,,,,sbcsae
*DANA:,,,,,,,,sbcsae
*NANC:,So we don't have anything,,,,,,,sbcsae
*DANA:,We have a stereo,,,,,,,sbcsae
*NANC:,Yeah,,,,,,,sbcsae
*DANA:,You know,,,,,,,sbcsae
*ARIA:,That's true,,,,,,,sbcsae
*NANC:,You're right,,,,,,,sbcsae
*NANC:,That's like,,,,,,,sbcsae
*ARIA:,That's fine,,,,,,,sbcsae
*ARIA:,We um,,,,,,,sbcsae
,you know we're down at the Shanty,,,,,,,sbcsae
*NANC:,Oh yeah ,,,,,,,sbcsae
*ARIA:,We're leaving,,,,,,,sbcsae
,and the guy's like,,,,,,,sbcsae
,We left a little bit ahead of my parents,,,,,,,sbcsae
*ARIA:,And the guys like,,,,,,,sbcsae
,hi you guys,,,,,,,sbcsae
,how was your dinner,,,,,,,sbcsae
*ARIA:,And we were like great,,,,,,,sbcsae
*ARIA:,uh Thinking you know he was just asking us how our dinner was,,,,,,,sbcsae
*ARIA:,He's like,,,,,,,sbcsae
,yeah,,,,,,,sbcsae
,you know going on about,,,,,,,sbcsae
,w what are you sophomores,,,,,,,sbcsae
,we're like,,,,,,,sbcsae
,no,,,,,,,sbcsae
,But everyone at thinks we're like young,UI,T4,UI,T4,MATCH,T4,sbcsae
*DANA:,Ah,,,,,,,sbcsae
*ARIA:,So we were like no,,,,,,,sbcsae
,seniors,,,,,,,sbcsae
,then he goes,,,,,,,sbcsae
,well,,,,,,,sbcsae
,we're looking for part time help,,,,,,,sbcsae
*ARIA:,,,,,,,,sbcsae
,Like he was just like recruiting us ,,,,,,,sbcsae
,right off of the dinner table,,,,,,,sbcsae
*NANC:,Mm,,,,,,,sbcsae
*DANA:,That's so great though,,,,,,,sbcsae
*ARIA:,Isn't that awesome,,,,,,,sbcsae
*NANC:,Shannon says like,,,,,,,sbcsae
,you can make some serious dingo working dinner,,,,,,,sbcsae
*DANA:,Did you say,,,,,,,sbcsae
*DANA:,Did you s tell about Jenn,,,,,,,sbcsae
*NANC:,Yeah,,,,,,,sbcsae
*KELL:,I keep telling you about,,,,,,,sbcsae
*NANC:,Well,,,,,,,sbcsae
,I was like,,,,,,,sbcsae
,yeah,,,,,,,sbcsae
,maybe I'll be back,,,,,,,sbcsae
*NANC:,,,,,,,,sbcsae
*KELL:,,,,,,,,sbcsae
*ARIA:,Yeah,,,,,,,sbcsae
,and he needed a hostess,,,,,,,sbcsae
*NANC:,And he was like,,,,,,,sbcsae
,okay,,,,,,,sbcsae
*ARIA:,cause I don't wanna waitress,,,,,,,sbcsae
*DANA:,Mhm,,,,,,,sbcsae
*ARIA:,Cause I'm,,,,,,,sbcsae
*ARIA:,I get too nervous like kinda things,,,,,,,sbcsae
*DANA:,Unhunh,,,,,,,sbcsae
